ac_code	description	item_group	base_uom
2376-1A(LHF)	SOFA 2376 1A(LHF)	OTHER	UNIT
2376-1A(RHF)	SOFA 2376 1A(RHF)	OTHER	UNIT
5530-1A(LHF)	5530-1A(LHF)	OTHER	UNIT
5530-1A(RHF)	5530-1A(RHF)	OTHER	UNIT
5530-1NA	SOFA VERANO 1NA	OTHER	UNIT
5530-2A(LHF)	5530-2A(LHF)	OTHER	UNIT
5530-2A(RHF)	5530-2A(RHF)	OTHER	UNIT
5530-L(LHF)	5530-L(LHF)	OTHER	UNIT
5530-L(RHF)	5530-L(RHF)	OTHER	UNIT
5535-1A(RHF)	SOFA NOVA 1A(RHF)	OTHER	UNIT
5535-1NA	SOFA NOVA 1NA	OTHER	UNIT
5535-L(LHF)	SOFA NOVA L(LHF)	OTHER	UNIT
5536-1A(LHF)	5536-1A(LHF)	OTHER	UNIT
5536-1A(RHF)	5536-1A(RHF)	OTHER	UNIT
5536-1NA	5536-1NA	OTHER	UNIT
5536-2A(LHF)	SOFA MAYBATCH 2A(LHF)	OTHER	UNIT
5536-2A(RHF)	5536-2A(RHF)	OTHER	UNIT
5536-CNR	5536-CNR	OTHER	UNIT
5536-L(LHF)	5536-L(LHF)	OTHER	UNIT
5540-1A(LHF)	SOFA SOFFIO 1A(LHF)	OTHER	UNIT
5540-1A(RHF)	SOFA SOFFIO 1A(RHF)	OTHER	UNIT
5540-1NA	SOFA SOFFIO 1NA	OTHER	UNIT
5540-2S	5540-2S	OTHER	UNIT
5540-L(LHF)	5540-L(LHF)	OTHER	UNIT
5540-L(RHF)	5540-L(RHF)	OTHER	UNIT
8211-4FT	SOFA 8211 4FT	OTHER	UNIT
8211-6FT	SOFA 8211 6FT	OTHER	UNIT
8211-7FT	SOFA 8211 7FT	OTHER	UNIT
9028-1A(LHF)	SOFA VERANO 1A(LHF)	OTHER	UNIT
9028-1A(RHF)	SOFA VERANO 1A(RHF)	OTHER	UNIT
9028-1NA	SOFA VERANO 1NA	OTHER	UNIT
9028-1S	SOFA VERANO	OTHER	UNIT
9028-2A(RHF)	SOFA VERANO 2A(RHF)	OTHER	UNIT
9030-2S	9030-2S	OTHER	UNIT
9058-1S	SOFA MAYBATCH L(LHF)	OTHER	UNIT
A01	ARM REST 02	OTHER	UNIT
AERO-DIVAN ONLY	AERO-DIVAN ONLY	BEDFRAME	SET
AERO-DIVAN ONLY (K)	AERO-DIVAN ONLY(K) (183x190CM)	BEDFRAME	SET
AERO-DIVAN ONLY (Q)	AERO-DIVAN ONLY(Q) (152x190CM)	BEDFRAME	SET
AERO-DIVAN ONLY (S)	AERO-DIVAN ONLY(S) (90x190CM)	BEDFRAME	SET
AERO-DIVAN ONLY (SS)	AERO-DIVAN ONLY(SS) (107x190CM)	BEDFRAME	SET
AERO-MP (K)	MATTRESS PROTECTOR (KING)	ACC	UNIT
AERO-MP (Q)	MATTRESS PROTECTOR (QUEEN)	ACC	UNIT
AERO-MP (S)	MATTRESS PROTECTOR (SINGLE)	ACC	UNIT
AERO-MP (SS)	MATTRESS PROTECTOR (SUPER SINGLE)	ACC	UNIT
AERO-Y04 (K)	AERO-Y04 B/FRAME(K) (183x190CM)	BEDFRAME	SET
AERO-Y04 (Q)	AERO-Y04 B/FRAME(Q) (152x190CM)	BEDFRAME	SET
AERO-Y04 (S)	AERO-Y04 B/FRAME(S) (90x190CM)	BEDFRAME	SET
AERO-Y04 (SS)	AERO-Y04 B/FRAME(SS) (107x190CM)	BEDFRAME	SET
AERO-Y09 (K)	AERO-Y09 B/FRAME(K) (183x190CM)	BEDFRAME	SET
AERO-Y09 (Q)	AERO-Y09 B/FRAME(Q) (152x190CM)	BEDFRAME	SET
AERO-Y09 (S)	AERO-Y09 B/FRAME(S) (90x190CM)	BEDFRAME	SET
AERO-Y09 (SS)	AERO-Y09 B/FRAME(SS) (107x190CM)	BEDFRAME	SET
AERO-Y103 (K)	AERO-Y103 B/FRAME(K) (183x190CM)	BEDFRAME	SET
AERO-Y103 (Q)	AERO-Y103 B/FRAME(Q) (152x190CM)	BEDFRAME	SET
