ac_code,erp_code,status,category,supplier
AERO-DIVAN ONLY,DIVAN ONLY,NEW,BEDFRAME,400-A001
AERO-DIVAN ONLY (K),DIVAN ONLY-(K),EXISTS,BEDFRAME,400-A001
AERO-DIVAN ONLY (Q),DIVAN ONLY-(Q),EXISTS,BEDFRAME,400-A001
AERO-DIVAN ONLY (S),DIVAN ONLY-(S),EXISTS,BEDFRAME,400-A001
AERO-DIVAN ONLY (SS),DIVAN ONLY-(SS),EXISTS,BEDFRAME,400-A001
AERO-Y04 (K),Y04-(K),EXISTS,BEDFRAME,400-A001
AERO-Y04 (Q),Y04-(Q),EXISTS,BEDFRAME,400-A001
AERO-Y04 (S),Y04-(S),EXISTS,BEDFRAME,400-A001
AERO-Y04 (SS),Y04-(SS),EXISTS,BEDFRAME,400-A001
AERO-Y09 (K),Y09-(K),EXISTS,BEDFRAME,400-A001
AERO-Y09 (Q),Y09-(Q),EXISTS,BEDFRAME,400-A001
AERO-Y09 (S),Y09-(S),EXISTS,BEDFRAME,400-A001
AERO-Y09 (SS),Y09-(SS),EXISTS,BEDFRAME,400-A001
AERO-Y103 (K),Y103-(K),EXISTS,BEDFRAME,400-A001
AERO-Y103 (Q),Y103-(Q),EXISTS,BEDFRAME,400-A001
AERO-Y103 (S),Y103-(S),EXISTS,BEDFRAME,400-A001
AERO-Y103 (SS),Y103-(SS),EXISTS,BEDFRAME,400-A001
AERO-Y31 (K),Y31-(K),EXISTS,BEDFRAME,400-A001
AERO-Y31 (Q),Y31-(Q),EXISTS,BEDFRAME,400-A001
AERO-Y31 (S),Y31-(S),EXISTS,BEDFRAME,400-A001
AERO-Y31 (SS),Y31-(SS),EXISTS,BEDFRAME,400-A001
AERO-Y41 (K),Y41-(K),EXISTS,BEDFRAME,400-A001
AERO-Y41 (Q),Y41-(Q),EXISTS,BEDFRAME,400-A001
AERO-Y41 (S),Y41-(S),EXISTS,BEDFRAME,400-A001
AERO-Y41 (SS),Y41-(SS),EXISTS,BEDFRAME,400-A001
AERO-Y44 (K),Y44-(K),EXISTS,BEDFRAME,400-A001
AERO-Y44 (Q),Y44-(Q),EXISTS,BEDFRAME,400-A001
AERO-Y44 (S),Y44-(S),EXISTS,BEDFRAME,400-A001
AERO-Y44 (SS),Y44-(SS),EXISTS,BEDFRAME,400-A001
AERO-Y45 (K),Y45-(K),EXISTS,BEDFRAME,400-A001
AERO-Y45 (Q),Y45-(Q),EXISTS,BEDFRAME,400-A001
AERO-Y45 (S),Y45-(S),EXISTS,BEDFRAME,400-A001
AERO-Y45 (SS),Y45-(SS),EXISTS,BEDFRAME,400-A001
AERO-Y78 (K),Y78-(K),EXISTS,BEDFRAME,400-A001
AERO-Y78 (Q),Y78-(Q),EXISTS,BEDFRAME,400-A001
AERO-Y78 (S),Y78-(S),EXISTS,BEDFRAME,400-A001
AERO-Y78 (SS),Y78-(SS),EXISTS,BEDFRAME,400-A001
AKBF-PEBBLE GREY (K),PEBBLE GREY-(K),NEW,BEDFRAME,400-D002
AKBF-PEBBLE GREY (Q),PEBBLE GREY-(Q),NEW,BEDFRAME,400-D002
AKBF-PEBBLE GREY (S),PEBBLE GREY-(S),NEW,BEDFRAME,400-D002
AKBF-PEBBLE GREY (SK),PEBBLE GREY-(SK),NEW,BEDFRAME,400-D002
AKBF-PEBBLE GREY (SS),PEBBLE GREY-(SS),NEW,BEDFRAME,400-D002
AKBF-SANDY BEACH (K),SANDY BEACH-(K),NEW,BEDFRAME,400-D002
AKBF-SANDY BEACH (Q),SANDY BEACH-(Q),NEW,BEDFRAME,400-D002
AKBF-SANDY BEACH (S),SANDY BEACH-(S),NEW,BEDFRAME,400-D002
AKBF-SANDY BEACH (SK),AKEMI -SANDY BEACH-(SK),EXISTS,BEDFRAME,400-D002
AKBF-SANDY BEACH (SS),SANDY BEACH-(SS),NEW,BEDFRAME,400-D002
BC-BC021(K),TIFFANI-(K),EXISTS,BEDFRAME,400-B002
BC-BC021(Q),TIFFANI-(Q),EXISTS,BEDFRAME,400-B002
