AKEMI -PEBBLE GREY-(K)	AKBF-PEBBLE GREY (K)	1.00	DUP	BEDFRAME
AKEMI -PEBBLE GREY-(Q)	AKBF-PEBBLE GREY (Q)	1.00	DUP	BEDFRAME
AKEMI -PEBBLE GREY-(S)	AKBF-PEBBLE GREY (S)	1.00	DUP	BEDFRAME
AKEMI -PEBBLE GREY-(SK)	AKBF-PEBBLE GREY (SK)	1.00	DUP	BEDFRAME
AKEMI -PEBBLE GREY-(SS)	AKBF-PEBBLE GREY (SS)	1.00	DUP	BEDFRAME
AKEMI -SANDY BEACH-(K)	AKBF-SANDY BEACH (K)	1.00	DUP	BEDFRAME
AKEMI -SANDY BEACH-(Q)	AKBF-SANDY BEACH (Q)	1.00	DUP	BEDFRAME
AKEMI -SANDY BEACH-(S)	AKBF-SANDY BEACH (S)	1.00	DUP	BEDFRAME
AKEMI -SANDY BEACH-(SS)	AKBF-SANDY BEACH (SS)	1.00	DUP	BEDFRAME
STEEL-(Q)	STEEL BEDFRAME (Q)	1.00	NEEDSBIND	BEDFRAME
FOOTREST	MYLATEX-FOOTREST	1.00	NEEDSBIND	ACCESSORY
PILLOW CASE	PILLOW CASE	1.00	NEEDSBIND	ACCESSORY
THL-SOFA PILLOW	THL-5142 PILLOW	1.00	DUP	ACCESSORY
AKEMI COMFORT H+C MATT (S)	AK-COMFORT H+C MATT (S)	1.00	DUP	MATTRESS
AKEMI COMFORT HB MATT (K)	AK-COMFORT HB MATT (K) 	1.00	DUP	MATTRESS
AKEMI COMFORT HB MATT (Q)	AK-COMFORT HB MATT (Q)	1.00	DUP	MATTRESS
AKEMI COMFORT HB MATT (S)	AK-COMFORT HB MATT (S)	1.00	DUP	MATTRESS
AKEMI COMFORT HB MATT (SS)	AK-COMFORT HB MATT (SS)	1.00	DUP	MATTRESS
AKEMI HS SOLACE MATT (K)	AK-HS SOLACE (K)	1.00	DUP	MATTRESS
AKEMI HS SOLACE MATT (Q)	AK-HS SOLACE (Q)	1.00	DUP	MATTRESS
AKEMI HS SOLACE MATT (S)	AK-HS SOLACE (S)	1.00	DUP	MATTRESS
AKEMI HS SOLACE MATT (SK)	AK-HS SOLACE (SK)	1.00	DUP	MATTRESS
AKEMI HS SOLACE MATT (SP)	AK-HS SOLACE (SP)	1.00	DUP	MATTRESS
AKEMI HS SOLACE MATT (SS)	AK-HS SOLACE (SS)	1.00	DUP	MATTRESS
AKEMI SOLITUDE MATT (Q)	AK-SOLITUDE MATT (Q)	1.00	DUP	MATTRESS
AKEMI SOLITUDE MATT (S)	AK-SOLITUDE MATT (S)	1.00	DUP	MATTRESS
AKEMI SOLITUDE MATT (SK)	AK-SOLITUDE MATT (SK)	1.00	DUP	MATTRESS
AKEMI SOLITUDE MATT (SP)	AK-SOLITUDE MATT (SP)	1.00	DUP	MATTRESS
DUNLOPILLO AMIRA PREMUIM MATT (K)	DL-AMIRA PREMUIM (K)	1.00	DUP	MATTRESS
DUNLOPILLO AMIRA PREMUIM MATT (Q)	DL-AMIRA PREMUIM (Q)	1.00	DUP	MATTRESS
DUNLOPILLO AMIRA PREMUIM MATT (S)	DL-AMIRA PREMUIM (S)	1.00	DUP	MATTRESS
DUNLOPILLO AMIRA PREMUIM MATT (SS)	DL-AMIRA PREMUIM (SS)	1.00	DUP	MATTRESS
DUNLOPILLO AQUA RELAXER 300 MATT (K)	DL-AQUA RELAXER 300(K)	1.00	DUP	MATTRESS
DUNLOPILLO AQUA RELAXER 300 MATT (Q)	DL-AQUA RELAXER 300(Q)	1.00	DUP	MATTRESS
DUNLOPILLO AQUA RELAXER 300 MATT (S)	DL-AQUA RELAXER 300(S)	1.00	DUP	MATTRESS
DUNLOPILLO AQUA RELAXER 300 MATT (SK)	DL-AQUA RELAXER 300 (SK)	1.00	DUP	MATTRESS
DUNLOPILLO AQUA RELAXER 300 MATT (SS)	DL-AQUA RELAXER 300(SS)	1.00	DUP	MATTRESS
DUNLOPILLO AQUA SUPPORTER 1 MATT (K)	DL-AQUA SUPPORTER 1 (K)	1.00	DUP	MATTRESS
DUNLOPILLO AQUA SUPPORTER 1 MATT (Q)	DL-AQUA SUPPORTER 1 (Q)	1.00	DUP	MATTRESS
DUNLOPILLO AQUA SUPPORTER 1 MATT (S)	DL-AQUA SUPPORTER 1 (S)	1.00	DUP	MATTRESS
