SO单号,AC明细键(DtlKey),ItemCode,Description 2,数量,已转DO,已转PO,单价
SO-001373,93913,RDS-5527 SOFA,"[ 2.5S(35"") + C/T (FABRIC HARRING) / COL: GD8371- 03# STRAW ]",1,1,1,5888
SO-003813,252104,RDS-5526 SOFA,"2S(28"") / Col: Beetex Harring GD 8371 - 02# Beige",1,1,1,2290
SO-004725,335547,LV-3068 SOFA,3s/35”/color:orion-2,1,0,1,7100
SO-004725,335549,DSL-8050 SOFA,1R/60cm/color:J9226-2-buttercream (coating Armani fabric),1,0,1,0
SO-006575,450396,AMN-SF9028 SOFA,3L/28”/colour:grafield1-softlinen,1,0,1,5000
SO-007399,504356,AMN-SF9028 SOFA,Col:M2402-8/28”/1L+2R,1,0,1,4100
SO-008464,586544,DSL-8030 SOFA,L2 (28”) / COL: HR805-90 / BOTTOM USE UMBRELLA FABRIC,1,0,1,4990
SO-008772,613512,DSL-9028 SOFA,"2s(28"")/BO315-22(feather)",1,0,1,5300
SO-008772,613513,DSL-9028 SOFA,"2s(24"")/BO315-22(feather)",1,0,1,0
SO-008942,624441,AMN-SF9058 SOFA,colour  : MODENZA 05- DARK OLIVE  change the bottom fabric to Nilon  30 inch per set,1,0,1,4990
SO-010214,694418,DSL-9028 SOFA,BO315-25 (FOSSIL)/28”/3S,1,0,1,3688
SO-010354,707196,DSL-8030 SOFA,M2402-13 (FOREST)/35”/1R+1R,1,0,1,2888
SO-010426,718466,DSL-8051 SOFA,CH141-1 (CREAM)/30”/1P+1NA+1P,1,0,1,5547
SO-010558,740582,AMN-SF9028 SOFA,NX003 (HONEY)/32”/1R+L,1,0,1,3188
SO-010665,749396,HOK-5530 SOFA,2+L(28inch)/col:BO315-3(Beige),1,0,1,3990
SO-010886,758406,HOK-5537 SOFA,BO315-23 (BEIGE)/28”/1R+2R,1,0,1,3500
SO-010956,759062,HOK-5530 SOFA,"{SIZE:2S+L(28"")}/{COL:M2402-4)}",1,0,1,3990
SO-010996,760727,HOK-5530 SOFA,3S(1+1NA+1)/Size:24”/Col:CH141-1 Cream,1,0,1,3200
SO-011045,761834,DSL-9058 SOFA,"2L(28"")/COL:CH141-1",1,0,1,4990
SO-011449,790618,DSL-8030 SOFA,colour : B0315-2 feather  wrap bottom to Nilon  1EL + CS + 1ER ,1,0,1,4288
SO-011526,795962,AMN-SF9058 SOFA,1R+1R/Size: 30”/Col:BO315-22 Feather/Bottom wrap to umbrella fabric,1,0,1,2800
SO-011660,803503,AMN-SF9058 SOFA,GD2502#09-SANDY/30”/1B+C+2R,1,0,1,5990
SO-011665,803525,HOK-5540 SOFA,1+1(35'INCH)/COL:BOOBOO315-31/bottom use umbrella fabric/firmness same with 5535,1,1,1,3100
SO-011733,805661,AMN-SF9058 SOFA,"{COL:CH141-8 ARMY}/{SEAT HEIGHT: +1""INCH}/{BACK CUSHION CHANGE 8030}/{1 ARMREST USE WOODEN PLATE}",1,0,1,6990
SO-011742,806495,TD-5119 SOFA,(P+1NA+L)30’’/Col:CH141-1 Cream,1,0,1,5390
SO-011957,822479,AMN-SF9028 SOFA,BO315-21/32”/1R+1NA+1R,1,0,1,4500
SO-011957,822481,AMN-SF9028 SOFA,BO315-21/32” X 49”,1,0,1,0
SO-011965,823070,AMN-SF9058 SOFA,1+1NA+1NA+C(30'INCH)/COL:CH141-3,1,0,1,5803
SO-012076,831960,HOK-5535 SOFA,2R+qSize: 28”/Col: CH141-13Deep Grey/Bottom wrap nylon,1,1,1,3990
SO-012113,833042,DSL-8030 SOFA,fully cover replace the leg  bottom Nilon  Col: HR 805-40,1,0,1,3388
SO-012170,834906,HOK-5535 SOFA,2R+1R/Size:28”/Col:CH141-13 Deep Grey/Bottom wrap nylon,1,0,1,3990
SO-012173,834951,HOK-5530 SOFA,2R+L/Size:24”/Col:KN390-2/Bottom wrap nylon/Change to 8030 back cushion/Feeling same as 5535,1,0,1,4588
SO-012179,835278,HOK-5536 SOFA,Size:32”/Col:HR805-40/Bottom wrap nylon,1,0,1,5000
SO-012337,844665,DSL-8030 SOFA,"{SIZE:2R(30"")}/{COL:B0315-23 Beige}",1,0,1,2888
