# Houzs-ERP merged-PR branches deleted 2026-08-12
# Every one had a MERGED pull request, so its content is on main.
# Restore from the PR page's 'Restore branch' button, or:
#   git push origin <sha>:refs/heads/<branch>
#
sha	branch
3846af898566bf724595bc191accc7993eff3c65	audit/2990-source-compare
eb3a41cb071cedaa4c20b060e340601fdbdaadef	audit/company-data-isolation
e46740371f91a71f4c600d1cbc95689590e6a614	audit/dup-doc-audit
210995007614061141a6e7b646013ba82944e4c2	audit/inventory-costing
a00a5e62600237135427353041459145229e5ffe	audit/mrp-pairing
85a3074ae33d9f5a9a5afa338f7f7c1600670096	audit/pms-dupes
80e739fdaa9bdbff3adda3d4f4591cc4055511d8	batch2/checklist-backend
b5c18be6eff58191a1b16889046193bf796485da	batch3/projects-frontend
d12b7a0363fdc15e7383510a2df93ce4df1eacc0	batch4/restore-owner-data
953dd73e85e1557fc5362e2465a0849a1a25bc48	chore/2990-completeness-check
137cdac2c163072a44e6e7ce525acd199f1e38c3	chore/2990-gap-detail-diag
75a50f841406d8193bf0e940661871ddbb4f58e2	chore/5526-dryrun-probe
c0ed2ba11d4f17a13577833501c613e8f43e87a0	chore/ac-import-bulk
af72f8cf99456ce569373684d8060d11d40635c9	chore/ac-import-workflow
dad0436128a22e40545092ba18e579dc904ed54c	chore/ac-outbox-health
1fe44207fb242baba1946e1978839a7970e52012	chore/ac-rebind-unlinked
7601bddd958a1f3d263a5dd20a87ac07b2c63e98	chore/ac-sync-url
37ccbbc7f827d5911c2e2761211fe12f33407b50	chore/ac-writeback-mappings
398f3ecfa35cb6a2b79f16cf22492950dab3f117	chore/align-open-skus
63ccc237f7dc51d3f48382500e83f06aa1e133b1	chore/assr-debug-so-mirror
7bcae076b66ee3431e24cbd29bd3589437c447ec	chore/assr-farra-pg-importer
e1be00297450289bbc97fa8958314b870c7ba64a	chore/assr-supplier-portal-debug
589a72525f4a300b520d26c54dfb0f9e7fed63ce	chore/autocount-parity-check
0ae758552bf1ee4a198af13b3ee0d8351abce5af	chore/backfill-activity-categories
14386fb1d812e6b856f37c3ba5a3649a951bf298	chore/backfill-sofa-pwp-vouchers
4da212a8d08a9d15e593a11d3d655b3b3e9a6216	chore/branding-match-diag
40c852ee303817fbc8b43984a2ede16f9c03ca33	chore/check-mattress-cost-trace
4a68e050d9c4b29cb8a7ea98e603423cc1d540c3	chore/ci-single-run
401c427bd1c64aafadb7c002beb2a86dc4b889b8	chore/convert-guard-proof
d89de942da9455575965ed311db6148136c22e80	chore/costing-detectors-r124
bd8b14eb61b5f2ec18fee90b68a714a851b4daa9	chore/costing-integrity-audit
b5c842521610a04aa693789f47246f117b0097a1	chore/custom-specials-array-census
d4363efdf64d6959e58f460ca812eb86990fa61b	chore/cutover-completeness-check
06be2053935604e8b920999bbc28b647e48a9e4c	chore/delivery-nav-renames
32a68ad8e9bd17c0cb9f2eea2605a83bf174c30b	chore/design-sync-config
905a67ebccf7f9e257c41307d77398d2592e760f	chore/design-sync-presence
f0530b966757b6ab9da151dbd52411da46b149d8	chore/diag-2990-deep-parity
475e923bdd6c2a93da59eaaef64437d876b541a3	chore/diag-colour-dup
6e12db8f61455aee753c049fb0b0316a453768b2	chore/do-integrity-diagnostic
50560e7504bafb907628358ddf8d381e811ce943	chore/do-miss-diagnostic
0b3349cdec05d7397ee07bfb7eb846368add4315	chore/edit-path-check-precision
39800b7395be3be642850d0e2790ea6d7ce13b2a	chore/enable-analytics-engine
8d9c084a7cd8c79de798d54039d548efe6669d86	chore/export-bindings
a27d32dabd2da5082ef89328550040f7486846d5	chore/export-categories
7386030d1708e28c755f18dfad02805d42be2488	chore/fabric-library-dump
59d66978d5fb75786285602f5ef29f7d0d01742a	chore/fabric-lookup-cap
07c90ac1c30efad480ad3acb21b3030976722d17	chore/fix-specials
f6ef6834d9a0a767d7baef8c698ab25dee971f32	chore/fix-venue-address
28c8839f8fe3f0cadf00302e1452a9a0df791943	chore/frontend-error-and-perf-evidence
3638e9d90b6d7d9cb3f77eb27da568c508daad91	chore/hard-committed-po-detector
1d065c5c4bc4542ef09b45b07290c31372fb206a	chore/index-verdict-accuracy
a2b0cfa3f05fdeeb4fee58609a9f8942acdf8d47	chore/inventory-idempotency-audit
3dc22b5d56457029e300035e1906644ebbd45264	chore/inventory-integrity-audit
0b105d08d50105e3d5d55dc1baf830826d2830e6	chore/legacy-amendment-approver-grants
3c1900e9417f2553e673585b7b11061f99126d32	chore/line-supply-trace
6f9b814c9c1cbb414902da18801413e2ca6d6c80	chore/migration-fidelity
5c2b16eb3c17847655750209fefc7336ef15ee64	chore/migration-guard-next-free-0803
